nohup: ignoring input
[PIPELINE] 2026-03-03 15:12:25 Start STaSy full rerun
2026-03-03 15:12:30,228 - INFO - Starting Evaluation on device: cuda
2026-03-03 15:13:18,619 - INFO - Filtered execution to single model: STaSy (ICLR 23)
2026-03-03 15:13:18,619 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 15:13:18,620 - INFO - Evaluating STaSy (ICLR 23)...
2026-03-03 15:13:18,620 - INFO - Training STaSy ...
2026-03-03 15:13:42,909 - INFO - [STaSy] Epoch 2/100 - batch 320/836, loss=0.915664
2026-03-03 15:13:43,287 - INFO - [STaSy] Epoch 2/100 - batch 340/836, loss=1.203734
2026-03-03 15:13:43,668 - INFO - [STaSy] Epoch 2/100 - batch 360/836, loss=1.021910
2026-03-03 15:13:44,045 - INFO - [STaSy] Epoch 2/100 - batch 380/836, loss=0.911441
2026-03-03 15:13:44,429 - INFO - [STaSy] Epoch 2/100 - batch 400/836, loss=1.000152
2026-03-03 15:13:44,812 - INFO - [STaSy] Epoch 2/100 - batch 420/836, loss=1.340394
2026-03-03 15:13:45,189 - INFO - [STaSy] Epoch 2/100 - batch 440/836, loss=1.108420
2026-03-03 15:13:45,568 - INFO - [STaSy] Epoch 2/100 - batch 460/836, loss=1.518315
2026-03-03 15:13:45,955 - INFO - [STaSy] Epoch 2/100 - batch 480/836, loss=0.959170
2026-03-03 15:13:46,354 - INFO - [STaSy] Epoch 2/100 - batch 500/836, loss=1.409674
2026-03-03 15:13:46,741 - INFO - [STaSy] Epoch 2/100 - batch 520/836, loss=0.919632
2026-03-03 15:13:47,123 - INFO - [STaSy] Epoch 2/100 - batch 540/836, loss=1.112391
2026-03-03 15:13:47,514 - INFO - [STaSy] Epoch 2/100 - batch 560/836, loss=1.355330
2026-03-03 15:13:47,908 - INFO - [STaSy] Epoch 2/100 - batch 580/836, loss=1.337742
2026-03-03 15:13:48,303 - INFO - [STaSy] Epoch 2/100 - batch 600/836, loss=0.861910
2026-03-03 15:13:48,706 - INFO - [STaSy] Epoch 2/100 - batch 620/836, loss=1.714969
2026-03-03 15:13:49,101 - INFO - [STaSy] Epoch 2/100 - batch 640/836, loss=0.922039
2026-03-03 15:13:49,495 - INFO - [STaSy] Epoch 2/100 - batch 660/836, loss=1.138524
2026-03-03 15:13:49,898 - INFO - [STaSy] Epoch 2/100 - batch 680/836, loss=1.686619
2026-03-03 15:13:50,303 - INFO - [STaSy] Epoch 2/100 - batch 700/836, loss=1.484941
2026-03-03 15:13:50,696 - INFO - [STaSy] Epoch 2/100 - batch 720/836, loss=1.087793
2026-03-03 15:13:51,089 - INFO - [STaSy] Epoch 2/100 - batch 740/836, loss=1.140226
2026-03-03 15:13:51,485 - INFO - [STaSy] Epoch 2/100 - batch 760/836, loss=1.193890
2026-03-03 15:13:51,883 - INFO - [STaSy] Epoch 2/100 - batch 780/836, loss=0.854149
2026-03-03 15:13:52,286 - INFO - [STaSy] Epoch 2/100 - batch 800/836, loss=1.341244
2026-03-03 15:13:52,680 - INFO - [STaSy] Epoch 2/100 - batch 820/836, loss=1.073411
2026-03-03 15:13:52,999 - INFO - [STaSy] Epoch 2/100 - batch 836/836, loss=0.712647
2026-03-03 15:13:53,000 - INFO - [STaSy] Epoch 2/100 - avg_loss=1.238156, batches=836
2026-03-03 15:13:53,430 - INFO - [STaSy] Epoch 3/100 - batch 20/836, loss=1.553742
2026-03-03 15:13:53,882 - INFO - [STaSy] Epoch 3/100 - batch 40/836, loss=1.240449
2026-03-03 15:13:54,323 - INFO - [STaSy] Epoch 3/100 - batch 60/836, loss=1.714026
2026-03-03 15:13:54,776 - INFO - [STaSy] Epoch 3/100 - batch 80/836, loss=1.096974
2026-03-03 15:13:55,234 - INFO - [STaSy] Epoch 3/100 - batch 100/836, loss=1.048498
2026-03-03 15:13:55,694 - INFO - [STaSy] Epoch 3/100 - batch 120/836, loss=0.984571
2026-03-03 15:13:56,150 - INFO - [STaSy] Epoch 3/100 - batch 140/836, loss=2.438163
2026-03-03 15:13:56,612 - INFO - [STaSy] Epoch 3/100 - batch 160/836, loss=1.478038
2026-03-03 15:13:57,086 - INFO - [STaSy] Epoch 3/100 - batch 180/836, loss=0.811324
