nohup: ignoring input
2026-03-02 09:11:29,517 - INFO - Starting Evaluation on device: cuda
2026-03-02 09:12:18,243 - INFO - Filtered execution to single model: TabDiff (ICLR 25)
2026-03-02 09:12:18,243 - INFO - === Running evaluation for SEED: 42 ===
2026-03-02 09:12:18,245 - INFO - Evaluating TabDiff (ICLR 25)...
2026-03-02 09:12:18,245 - INFO - Training TabDiff (ICLR 2025) ...
2026-03-02 09:15:02,058 - INFO - [TabDiff] Epoch 2/100 - batch 300/836, loss=3.375211
2026-03-02 09:15:04,845 - INFO - [TabDiff] Epoch 2/100 - batch 320/836, loss=3.861578
2026-03-02 09:15:07,513 - INFO - [TabDiff] Epoch 2/100 - batch 340/836, loss=2.993256
2026-03-02 09:15:10,158 - INFO - [TabDiff] Epoch 2/100 - batch 360/836, loss=3.389525
2026-03-02 09:15:12,822 - INFO - [TabDiff] Epoch 2/100 - batch 380/836, loss=3.986968
2026-03-02 09:15:15,501 - INFO - [TabDiff] Epoch 2/100 - batch 400/836, loss=3.497990
2026-03-02 09:15:18,169 - INFO - [TabDiff] Epoch 2/100 - batch 420/836, loss=3.486279
2026-03-02 09:15:20,816 - INFO - [TabDiff] Epoch 2/100 - batch 440/836, loss=3.471217
2026-03-02 09:15:23,720 - INFO - [TabDiff] Epoch 2/100 - batch 460/836, loss=3.638078
2026-03-02 09:15:26,719 - INFO - [TabDiff] Epoch 2/100 - batch 480/836, loss=3.857393
2026-03-02 09:15:29,674 - INFO - [TabDiff] Epoch 2/100 - batch 500/836, loss=3.263631
2026-03-02 09:15:32,323 - INFO - [TabDiff] Epoch 2/100 - batch 520/836, loss=3.888595
2026-03-02 09:15:34,982 - INFO - [TabDiff] Epoch 2/100 - batch 540/836, loss=3.028471
2026-03-02 09:15:37,680 - INFO - [TabDiff] Epoch 2/100 - batch 560/836, loss=3.362024
2026-03-02 09:15:40,346 - INFO - [TabDiff] Epoch 2/100 - batch 580/836, loss=3.476277
2026-03-02 09:15:42,993 - INFO - [TabDiff] Epoch 2/100 - batch 600/836, loss=3.750287
