nohup: ignoring input
2026-03-03 11:59:34,769 - INFO - Starting Evaluation on device: cuda
2026-03-03 12:00:25,016 - INFO - Filtered execution to single model: TSDiff (ICLR 23)
2026-03-03 12:00:25,016 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 12:00:25,017 - INFO - Evaluating TSDiff (ICLR 23)...
2026-03-03 12:00:25,017 - INFO - Training TSDiff (ICLR 2023) ...
2026-03-03 12:00:34,029 - INFO - [TSDiff] Epoch 2/100 - batch 300/836, loss=1.017640
2026-03-03 12:00:34,177 - INFO - [TSDiff] Epoch 2/100 - batch 320/836, loss=1.024166
2026-03-03 12:00:34,326 - INFO - [TSDiff] Epoch 2/100 - batch 340/836, loss=1.007187
2026-03-03 12:00:34,474 - INFO - [TSDiff] Epoch 2/100 - batch 360/836, loss=0.993349
2026-03-03 12:00:34,620 - INFO - [TSDiff] Epoch 2/100 - batch 380/836, loss=1.014375
2026-03-03 12:00:34,766 - INFO - [TSDiff] Epoch 2/100 - batch 400/836, loss=0.996930
2026-03-03 12:00:34,914 - INFO - [TSDiff] Epoch 2/100 - batch 420/836, loss=0.999286
2026-03-03 12:00:35,062 - INFO - [TSDiff] Epoch 2/100 - batch 440/836, loss=0.995461
2026-03-03 12:00:35,207 - INFO - [TSDiff] Epoch 2/100 - batch 460/836, loss=1.008394
2026-03-03 12:00:35,356 - INFO - [TSDiff] Epoch 2/100 - batch 480/836, loss=1.027673
2026-03-03 12:00:35,504 - INFO - [TSDiff] Epoch 2/100 - batch 500/836, loss=1.018252
2026-03-03 12:00:35,651 - INFO - [TSDiff] Epoch 2/100 - batch 520/836, loss=1.000992
2026-03-03 12:00:35,797 - INFO - [TSDiff] Epoch 2/100 - batch 540/836, loss=0.992675
2026-03-03 12:00:35,945 - INFO - [TSDiff] Epoch 2/100 - batch 560/836, loss=0.972862
2026-03-03 12:00:36,094 - INFO - [TSDiff] Epoch 2/100 - batch 580/836, loss=1.006516
2026-03-03 12:00:36,241 - INFO - [TSDiff] Epoch 2/100 - batch 600/836, loss=1.010856
2026-03-03 12:00:36,386 - INFO - [TSDiff] Epoch 2/100 - batch 620/836, loss=1.010144
2026-03-03 12:00:36,533 - INFO - [TSDiff] Epoch 2/100 - batch 640/836, loss=1.000287
2026-03-03 12:00:36,679 - INFO - [TSDiff] Epoch 2/100 - batch 660/836, loss=1.004563
